         DensityL1,         DensityL2,       DensityLinf,        PressureL1,        PressureL2,      PressureLinf,   MaximumLevel,     Inputfile,                                                                                                                                        Executable
    3.62231603e-07,    6.04347504e-09,    2.29657767e-10,    3.13098908e-07,    6.98101668e-09,    3.96813172e-10,              4,          SodX,         ALPACA_2D_16_4_LimitEndTime_TrackRuntimes_RK3_ReconstructionStencil_Weno_Linearized_Fedkiw_Roe_LocalLaxFriedrichs_Einfeldt_WENOAO53_HOUC5
    9.50195172e-05,    1.00443219e-05,    2.28677441e-06,    1.11548445e-04,    1.64977521e-05,    4.03873329e-06,              0,          SodY,         ALPACA_2D_16_4_LimitEndTime_TrackRuntimes_RK3_ReconstructionStencil_Weno_Linearized_Fedkiw_Roe_LocalLaxFriedrichs_Einfeldt_WENOAO53_HOUC5
    6.63838767e-06,    2.14896288e-07,    1.43515883e-08,    6.49134246e-06,    2.43798419e-07,    1.89720212e-08,              2,          SodY,         ALPACA_2D_16_4_LimitEndTime_TrackRuntimes_RK3_ReconstructionStencil_Weno_Linearized_Fedkiw_Roe_LocalLaxFriedrichs_Einfeldt_WENOAO53_HOUC5
    3.62231603e-07,    6.04347504e-09,    2.29657767e-10,    3.13098908e-07,    6.98101668e-09,    3.96813172e-10,              4,          SodY,         ALPACA_2D_16_4_LimitEndTime_TrackRuntimes_RK3_ReconstructionStencil_Weno_Linearized_Fedkiw_Roe_LocalLaxFriedrichs_Einfeldt_WENOAO53_HOUC5
    1.02588746e-04,    1.04568045e-05,    2.35343357e-06,    1.12368183e-04,    1.67052147e-05,    4.07886885e-06,              0,          SodX,                               ALPACA_2D_16_4_LimitEndTime_TrackRuntimes_RK3_HjReconstructionStencil_Min_Hllc_Fedkiw_Hllc_Roe_Einfeldt_WENO5_HOUC5
    7.06139876e-06,    2.24780624e-07,    1.44933916e-08,    6.24712396e-06,    2.44966054e-07,    2.16793770e-08,              2,          SodX,                               ALPACA_2D_16_4_LimitEndTime_TrackRuntimes_RK3_HjReconstructionStencil_Min_Hllc_Fedkiw_Hllc_Roe_Einfeldt_WENO5_HOUC5
    4.07856324e-07,    6.83228048e-09,    2.66188110e-10,    3.10301306e-07,    7.56294302e-09,    4.36506324e-10,              4,          SodX,                               ALPACA_2D_16_4_LimitEndTime_TrackRuntimes_RK3_HjReconstructionStencil_Min_Hllc_Fedkiw_Hllc_Roe_Einfeldt_WENO5_HOUC5
    1.02588746e-04,    1.04568045e-05,    2.35343357e-06,    1.12368183e-04,    1.67052147e-05,    4.07886885e-06,              0,          SodY,                               ALPACA_2D_16_4_LimitEndTime_TrackRuntimes_RK3_HjReconstructionStencil_Min_Hllc_Fedkiw_Hllc_Roe_Einfeldt_WENO5_HOUC5
    7.06139876e-06,    2.24780624e-07,    1.44933916e-08,    6.24712396e-06,    2.44966054e-07,    2.16793770e-08,              2,          SodY,                               ALPACA_2D_16_4_LimitEndTime_TrackRuntimes_RK3_HjReconstructionStencil_Min_Hllc_Fedkiw_Hllc_Roe_Einfeldt_WENO5_HOUC5
    4.07856324e-07,    6.83228048e-09,    2.66188110e-10,    3.10301306e-07,    7.56294302e-09,    4.36506324e-10,              4,          SodY,                               ALPACA_2D_16_4_LimitEndTime_TrackRuntimes_RK3_HjReconstructionStencil_Min_Hllc_Fedkiw_Hllc_Roe_Einfeldt_WENO5_HOUC5
