        Runtime,   MaximumLevel,     Inputfile,                                                                                                                                       Executable
     0.08004887,              3,          SodX,                     ALPACA_1D_8_6_LimitEndTime_TrackRuntimes_RK2_DerivativeStencil_Min_Exact_Fedkiw_Roe_LocalLaxFriedrichs_Einfeldt_WENO5Z_HOUC5
     0.42424625,              5,          SodX,                     ALPACA_1D_8_6_LimitEndTime_TrackRuntimes_RK2_DerivativeStencil_Min_Exact_Fedkiw_Roe_LocalLaxFriedrichs_Einfeldt_WENO5Z_HOUC5
     0.01737523,              0,          SodX,              ALPACA_1D_24_6_LimitEndTime_TrackRuntimes_RK2_HjDerivativeStencil_Min_Linearized_Fedkiw_Roe_LocalLaxFriedrichs_Einfeldt_WENO9_HOUC5
     0.03783308,              1,          SodX,              ALPACA_1D_24_6_LimitEndTime_TrackRuntimes_RK2_HjDerivativeStencil_Min_Linearized_Fedkiw_Roe_LocalLaxFriedrichs_Einfeldt_WENO9_HOUC5
     0.22396850,              3,          SodX,              ALPACA_1D_24_6_LimitEndTime_TrackRuntimes_RK2_HjDerivativeStencil_Min_Linearized_Fedkiw_Roe_LocalLaxFriedrichs_Einfeldt_WENO9_HOUC5
     1.39847000,              5,          SodX,              ALPACA_1D_24_6_LimitEndTime_TrackRuntimes_RK2_HjDerivativeStencil_Min_Linearized_Fedkiw_Roe_LocalLaxFriedrichs_Einfeldt_WENO9_HOUC5
     0.00614951,              0,          SodX,                                    ALPACA_1D_8_6_LimitEndTime_TrackRuntimes_RK2_DerivativeStencil_Min_Exact_Fedkiw_Hllc_Roe_Einfeldt_WENO7_HOUC5
     0.01317470,              1,          SodX,                                    ALPACA_1D_8_6_LimitEndTime_TrackRuntimes_RK2_DerivativeStencil_Min_Exact_Fedkiw_Hllc_Roe_Einfeldt_WENO7_HOUC5
     0.07330320,              3,          SodX,                                    ALPACA_1D_8_6_LimitEndTime_TrackRuntimes_RK2_DerivativeStencil_Min_Exact_Fedkiw_Hllc_Roe_Einfeldt_WENO7_HOUC5
     0.45897950,              5,          SodX,                                    ALPACA_1D_8_6_LimitEndTime_TrackRuntimes_RK2_DerivativeStencil_Min_Exact_Fedkiw_Hllc_Roe_Einfeldt_WENO7_HOUC5
     0.02248267,              0,          SodX,                 ALPACA_1D_32_4_LimitEndTime_TrackRuntimes_RK3_ReconstructionStencil_Weno_Hllc_Upwind_Roe_LocalLaxFriedrichs_Einfeldt_WENO3_HOUC5
     0.05681438,              1,          SodX,                 ALPACA_1D_32_4_LimitEndTime_TrackRuntimes_RK3_ReconstructionStencil_Weno_Hllc_Upwind_Roe_LocalLaxFriedrichs_Einfeldt_WENO3_HOUC5
     0.32276400,              3,          SodX,                 ALPACA_1D_32_4_LimitEndTime_TrackRuntimes_RK3_ReconstructionStencil_Weno_Hllc_Upwind_Roe_LocalLaxFriedrichs_Einfeldt_WENO3_HOUC5
     2.16983250,              5,          SodX,                 ALPACA_1D_32_4_LimitEndTime_TrackRuntimes_RK3_ReconstructionStencil_Weno_Hllc_Upwind_Roe_LocalLaxFriedrichs_Einfeldt_WENO3_HOUC5
     0.02658465,              0,          SodX,                             ALPACA_1D_32_4_LimitEndTime_TrackRuntimes_RK3_ReconstructionStencil_Weno_Exact_Upwind_Roe_Roe_M_Einfeldt_WENO7_HOUC5
     0.06311237,              1,          SodX,                             ALPACA_1D_32_4_LimitEndTime_TrackRuntimes_RK3_ReconstructionStencil_Weno_Exact_Upwind_Roe_Roe_M_Einfeldt_WENO7_HOUC5
     0.38560900,              3,          SodX,                             ALPACA_1D_32_4_LimitEndTime_TrackRuntimes_RK3_ReconstructionStencil_Weno_Exact_Upwind_Roe_Roe_M_Einfeldt_WENO7_HOUC5
     2.51176500,              5,          SodX,                             ALPACA_1D_32_4_LimitEndTime_TrackRuntimes_RK3_ReconstructionStencil_Weno_Exact_Upwind_Roe_Roe_M_Einfeldt_WENO7_HOUC5
     0.02218565,              0,          SodX,                      ALPACA_1D_32_4_LimitEndTime_TrackRuntimes_RK3_ReconstructionStencil_Weno_TwoRarefaction_Upwind_Roe_Roe_Einfeldt_WENO3_HOUC5
     0.05432508,              1,          SodX,                      ALPACA_1D_32_4_LimitEndTime_TrackRuntimes_RK3_ReconstructionStencil_Weno_TwoRarefaction_Upwind_Roe_Roe_Einfeldt_WENO3_HOUC5
     0.32604600,              3,          SodX,                      ALPACA_1D_32_4_LimitEndTime_TrackRuntimes_RK3_ReconstructionStencil_Weno_TwoRarefaction_Upwind_Roe_Roe_Einfeldt_WENO3_HOUC5
     2.08130750,              5,          SodX,                      ALPACA_1D_32_4_LimitEndTime_TrackRuntimes_RK3_ReconstructionStencil_Weno_TwoRarefaction_Upwind_Roe_Roe_Einfeldt_WENO3_HOUC5
     0.01669255,              0,          SodX,                            ALPACA_1D_24_6_LimitEndTime_TrackRuntimes_RK2_HjDerivativeStencil_Min_Linearized_Fedkiw_Hllc_Roe_Einfeldt_WENO3_HOUC5
     0.03660490,              1,          SodX,                            ALPACA_1D_24_6_LimitEndTime_TrackRuntimes_RK2_HjDerivativeStencil_Min_Linearized_Fedkiw_Hllc_Roe_Einfeldt_WENO3_HOUC5
     0.19539650,              3,          SodX,                            ALPACA_1D_24_6_LimitEndTime_TrackRuntimes_RK2_HjDerivativeStencil_Min_Linearized_Fedkiw_Hllc_Roe_Einfeldt_WENO3_HOUC5
     1.05866825,              5,          SodX,                            ALPACA_1D_24_6_LimitEndTime_TrackRuntimes_RK2_HjDerivativeStencil_Min_Linearized_Fedkiw_Hllc_Roe_Einfeldt_WENO3_HOUC5
     0.00664642,              0,          SodX,            ALPACA_1D_8_6_LimitEndTime_TrackRuntimes_RK2_DerivativeStencil_Min_TwoRarefaction_Fedkiw_Roe_GlobalLaxFriedrichs_Einfeldt_WENO7_HOUC5
     0.01435225,              1,          SodX,            ALPACA_1D_8_6_LimitEndTime_TrackRuntimes_RK2_DerivativeStencil_Min_TwoRarefaction_Fedkiw_Roe_GlobalLaxFriedrichs_Einfeldt_WENO7_HOUC5
     0.08223365,              3,          SodX,            ALPACA_1D_8_6_LimitEndTime_TrackRuntimes_RK2_DerivativeStencil_Min_TwoRarefaction_Fedkiw_Roe_GlobalLaxFriedrichs_Einfeldt_WENO7_HOUC5
     0.45647400,              5,          SodX,            ALPACA_1D_8_6_LimitEndTime_TrackRuntimes_RK2_DerivativeStencil_Min_TwoRarefaction_Fedkiw_Roe_GlobalLaxFriedrichs_Einfeldt_WENO7_HOUC5
     0.02348717,              0,          SodX,                      ALPACA_1D_32_4_LimitEndTime_TrackRuntimes_RK3_ReconstructionStencil_Weno_TwoRarefaction_Upwind_Hll_Roe_Einfeldt_WENO3_HOUC5
     0.05639155,              1,          SodX,                      ALPACA_1D_32_4_LimitEndTime_TrackRuntimes_RK3_ReconstructionStencil_Weno_TwoRarefaction_Upwind_Hll_Roe_Einfeldt_WENO3_HOUC5
     0.31810200,              3,          SodX,                      ALPACA_1D_32_4_LimitEndTime_TrackRuntimes_RK3_ReconstructionStencil_Weno_TwoRarefaction_Upwind_Hll_Roe_Einfeldt_WENO3_HOUC5
     2.14245500,              5,          SodX,                      ALPACA_1D_32_4_LimitEndTime_TrackRuntimes_RK3_ReconstructionStencil_Weno_TwoRarefaction_Upwind_Hll_Roe_Einfeldt_WENO3_HOUC5
     0.00631387,              0,          SodX,                                     ALPACA_1D_8_6_LimitEndTime_TrackRuntimes_RK2_DerivativeStencil_Min_Hllc_Fedkiw_Hll_Roe_Einfeldt_WENO5Z_HOUC5
     0.01362408,              1,          SodX,                                     ALPACA_1D_8_6_LimitEndTime_TrackRuntimes_RK2_DerivativeStencil_Min_Hllc_Fedkiw_Hll_Roe_Einfeldt_WENO5Z_HOUC5
     0.07016653,              3,          SodX,                                     ALPACA_1D_8_6_LimitEndTime_TrackRuntimes_RK2_DerivativeStencil_Min_Hllc_Fedkiw_Hll_Roe_Einfeldt_WENO5Z_HOUC5
     0.42420875,              5,          SodX,                                     ALPACA_1D_8_6_LimitEndTime_TrackRuntimes_RK2_DerivativeStencil_Min_Hllc_Fedkiw_Hll_Roe_Einfeldt_WENO5Z_HOUC5
     0.01479707,              0,          SodX,                       ALPACA_1D_24_6_LimitEndTime_TrackRuntimes_RK2_HjDerivativeStencil_Min_TwoRarefaction_Fedkiw_Roe_Roe_M_Einfeldt_WENO3_HOUC5
     0.03452018,              1,          SodX,                       ALPACA_1D_24_6_LimitEndTime_TrackRuntimes_RK2_HjDerivativeStencil_Min_TwoRarefaction_Fedkiw_Roe_Roe_M_Einfeldt_WENO3_HOUC5
     0.18896050,              3,          SodX,                       ALPACA_1D_24_6_LimitEndTime_TrackRuntimes_RK2_HjDerivativeStencil_Min_TwoRarefaction_Fedkiw_Roe_Roe_M_Einfeldt_WENO3_HOUC5
     1.06838825,              5,          SodX,                       ALPACA_1D_24_6_LimitEndTime_TrackRuntimes_RK2_HjDerivativeStencil_Min_TwoRarefaction_Fedkiw_Roe_Roe_M_Einfeldt_WENO3_HOUC5
     0.01603903,              0,          SodX,                                   ALPACA_1D_24_6_LimitEndTime_TrackRuntimes_RK2_HjDerivativeStencil_Min_Hllc_Fedkiw_Roe_Roe_Einfeldt_WENO7_HOUC5
     0.03671138,              1,          SodX,                                   ALPACA_1D_24_6_LimitEndTime_TrackRuntimes_RK2_HjDerivativeStencil_Min_Hllc_Fedkiw_Roe_Roe_Einfeldt_WENO7_HOUC5
     0.20458275,              3,          SodX,                                   ALPACA_1D_24_6_LimitEndTime_TrackRuntimes_RK2_HjDerivativeStencil_Min_Hllc_Fedkiw_Roe_Roe_Einfeldt_WENO7_HOUC5
     1.33321250,              5,          SodX,                                   ALPACA_1D_24_6_LimitEndTime_TrackRuntimes_RK2_HjDerivativeStencil_Min_Hllc_Fedkiw_Roe_Roe_Einfeldt_WENO7_HOUC5
     0.02369693,              0,          SodX,                               ALPACA_1D_32_4_LimitEndTime_TrackRuntimes_RK3_ReconstructionStencil_Weno_Hllc_Upwind_Hllc_Roe_Einfeldt_WENO5_HOUC5
     0.05729125,              1,          SodX,                               ALPACA_1D_32_4_LimitEndTime_TrackRuntimes_RK3_ReconstructionStencil_Weno_Hllc_Upwind_Hllc_Roe_Einfeldt_WENO5_HOUC5
     0.34806100,              3,          SodX,                               ALPACA_1D_32_4_LimitEndTime_TrackRuntimes_RK3_ReconstructionStencil_Weno_Hllc_Upwind_Hllc_Roe_Einfeldt_WENO5_HOUC5
     2.34421750,              5,          SodX,                               ALPACA_1D_32_4_LimitEndTime_TrackRuntimes_RK3_ReconstructionStencil_Weno_Hllc_Upwind_Hllc_Roe_Einfeldt_WENO5_HOUC5
     0.00615025,              0,          SodX,               ALPACA_1D_8_6_LimitEndTime_TrackRuntimes_RK2_DerivativeStencil_Min_Linearized_Fedkiw_Roe_LocalLaxFriedrichs_M_Einfeldt_WENO5_HOUC5
     0.01305017,              1,          SodX,               ALPACA_1D_8_6_LimitEndTime_TrackRuntimes_RK2_DerivativeStencil_Min_Linearized_Fedkiw_Roe_LocalLaxFriedrichs_M_Einfeldt_WENO5_HOUC5
     0.07072220,              3,          SodX,               ALPACA_1D_8_6_LimitEndTime_TrackRuntimes_RK2_DerivativeStencil_Min_Linearized_Fedkiw_Roe_LocalLaxFriedrichs_M_Einfeldt_WENO5_HOUC5
     0.38793300,              5,          SodX,               ALPACA_1D_8_6_LimitEndTime_TrackRuntimes_RK2_DerivativeStencil_Min_Linearized_Fedkiw_Roe_LocalLaxFriedrichs_M_Einfeldt_WENO5_HOUC5
     0.00648131,              0,          SodX,                                ALPACA_1D_8_6_LimitEndTime_TrackRuntimes_RK2_DerivativeStencil_Min_Linearized_Fedkiw_Roe_Roe_Einfeldt_WENO9_HOUC5
     0.01394908,              1,          SodX,                                ALPACA_1D_8_6_LimitEndTime_TrackRuntimes_RK2_DerivativeStencil_Min_Linearized_Fedkiw_Roe_Roe_Einfeldt_WENO9_HOUC5
     0.07973237,              3,          SodX,                                ALPACA_1D_8_6_LimitEndTime_TrackRuntimes_RK2_DerivativeStencil_Min_Linearized_Fedkiw_Roe_Roe_Einfeldt_WENO9_HOUC5
     0.43866900,              5,          SodX,                                ALPACA_1D_8_6_LimitEndTime_TrackRuntimes_RK2_DerivativeStencil_Min_Linearized_Fedkiw_Roe_Roe_Einfeldt_WENO9_HOUC5
     0.02492385,              0,          SodX,         ALPACA_1D_32_4_LimitEndTime_TrackRuntimes_RK3_ReconstructionStencil_Weno_Linearized_Upwind_Roe_GlobalLaxFriedrichs_Einfeldt_WENO5Z_HOUC5
     0.05931143,              1,          SodX,         ALPACA_1D_32_4_LimitEndTime_TrackRuntimes_RK3_ReconstructionStencil_Weno_Linearized_Upwind_Roe_GlobalLaxFriedrichs_Einfeldt_WENO5Z_HOUC5
     0.37249000,              3,          SodX,         ALPACA_1D_32_4_LimitEndTime_TrackRuntimes_RK3_ReconstructionStencil_Weno_Linearized_Upwind_Roe_GlobalLaxFriedrichs_Einfeldt_WENO5Z_HOUC5
     2.45729000,              5,          SodX,         ALPACA_1D_32_4_LimitEndTime_TrackRuntimes_RK3_ReconstructionStencil_Weno_Linearized_Upwind_Roe_GlobalLaxFriedrichs_Einfeldt_WENO5Z_HOUC5
     0.02302903,              0,          SodX,     ALPACA_1D_32_4_LimitEndTime_TrackRuntimes_RK3_ReconstructionStencil_Weno_TwoRarefaction_Upwind_Roe_LocalLaxFriedrichs_M_Einfeldt_WENO3_HOUC5
     0.05413427,              1,          SodX,     ALPACA_1D_32_4_LimitEndTime_TrackRuntimes_RK3_ReconstructionStencil_Weno_TwoRarefaction_Upwind_Roe_LocalLaxFriedrichs_M_Einfeldt_WENO3_HOUC5
     0.33368475,              3,          SodX,     ALPACA_1D_32_4_LimitEndTime_TrackRuntimes_RK3_ReconstructionStencil_Weno_TwoRarefaction_Upwind_Roe_LocalLaxFriedrichs_M_Einfeldt_WENO3_HOUC5
     2.01155750,              5,          SodX,     ALPACA_1D_32_4_LimitEndTime_TrackRuntimes_RK3_ReconstructionStencil_Weno_TwoRarefaction_Upwind_Roe_LocalLaxFriedrichs_M_Einfeldt_WENO3_HOUC5
     0.01906870,              0,          SodX,                             ALPACA_1D_24_6_LimitEndTime_TrackRuntimes_RK2_HjDerivativeStencil_Min_Linearized_Fedkiw_Hll_Roe_Einfeldt_WENO9_HOUC5
     0.04026060,              1,          SodX,                             ALPACA_1D_24_6_LimitEndTime_TrackRuntimes_RK2_HjDerivativeStencil_Min_Linearized_Fedkiw_Hll_Roe_Einfeldt_WENO9_HOUC5
     0.24060750,              3,          SodX,                             ALPACA_1D_24_6_LimitEndTime_TrackRuntimes_RK2_HjDerivativeStencil_Min_Linearized_Fedkiw_Hll_Roe_Einfeldt_WENO9_HOUC5
     1.40387250,              5,          SodX,                             ALPACA_1D_24_6_LimitEndTime_TrackRuntimes_RK2_HjDerivativeStencil_Min_Linearized_Fedkiw_Hll_Roe_Einfeldt_WENO9_HOUC5
     0.01593243,              0,          SodX,                 ALPACA_1D_24_6_LimitEndTime_TrackRuntimes_RK2_HjDerivativeStencil_Min_Hllc_Fedkiw_Roe_LocalLaxFriedrichs_M_Einfeldt_WENO5Z_HOUC5
     0.03830158,              1,          SodX,                 ALPACA_1D_24_6_LimitEndTime_TrackRuntimes_RK2_HjDerivativeStencil_Min_Hllc_Fedkiw_Roe_LocalLaxFriedrichs_M_Einfeldt_WENO5Z_HOUC5
     0.20939675,              3,          SodX,                 ALPACA_1D_24_6_LimitEndTime_TrackRuntimes_RK2_HjDerivativeStencil_Min_Hllc_Fedkiw_Roe_LocalLaxFriedrichs_M_Einfeldt_WENO5Z_HOUC5
     1.26991750,              5,          SodX,                 ALPACA_1D_24_6_LimitEndTime_TrackRuntimes_RK2_HjDerivativeStencil_Min_Hllc_Fedkiw_Roe_LocalLaxFriedrichs_M_Einfeldt_WENO5Z_HOUC5
