         DensityL1,         DensityL2,       DensityLinf,        PressureL1,        PressureL2,      PressureLinf,   MaximumLevel,     Inputfile,                                                                                                                                                          Executable
    5.41078087e-07,    1.78701534e-07,    1.18724621e-07,    4.74130387e-07,    2.22922105e-07,    2.03218512e-07,              0,          SodX,                             ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_Roe_M_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_ReconstructionStencil_Weno_Exact_Upwind
    7.28488230e-08,    2.32632662e-08,    1.51466922e-08,    5.52253631e-08,    2.25395430e-08,    1.81216167e-08,              1,          SodX,                             ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_Roe_M_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_ReconstructionStencil_Weno_Exact_Upwind
    1.79757250e-09,    3.80366126e-10,    2.21976197e-10,    1.74430389e-09,    4.32994028e-10,    3.81132065e-10,              3,          SodX,                             ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_Roe_M_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_ReconstructionStencil_Weno_Exact_Upwind
    2.63120222e-11,    9.30457704e-12,    8.00005968e-12,    2.46850418e-11,    1.41897680e-11,    1.40470055e-11,              5,          SodX,                             ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_Roe_M_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_ReconstructionStencil_Weno_Exact_Upwind
    9.64420466e-07,    2.53172573e-07,    1.78922953e-07,    8.43317388e-07,    3.33634664e-07,    3.05663996e-07,              0,          SodX,                      ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_Roe_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_TwoRarefaction_Upwind
    1.32521443e-07,    3.21828797e-08,    1.88186247e-08,    9.91953078e-08,    3.57959195e-08,    3.17764790e-08,              1,          SodX,                      ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_Roe_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_TwoRarefaction_Upwind
    6.03615675e-09,    1.07707515e-09,    6.56030630e-10,    6.50802607e-09,    1.43209201e-09,    9.15895442e-10,              3,          SodX,                      ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_Roe_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_TwoRarefaction_Upwind
    5.60337307e-11,    1.24681705e-11,    9.15831838e-12,    3.63812785e-11,    1.68693492e-11,    1.60371378e-11,              5,          SodX,                      ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_Roe_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_TwoRarefaction_Upwind
    2.20465992e-06,    5.65708847e-07,    3.71935085e-07,    1.91570490e-06,    6.99942603e-07,    6.14275684e-07,              0,          SodX,                              ALPACA_1D_24_6_NavierStokes_RK2_FiniteVolume_Roe_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_HjDerivativeStencil_Min_Linearized_Fedkiw
    3.49946285e-07,    1.09037872e-07,    9.20347642e-08,    3.33629160e-07,    1.66291278e-07,    1.58782838e-07,              1,          SodX,                              ALPACA_1D_24_6_NavierStokes_RK2_FiniteVolume_Roe_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_HjDerivativeStencil_Min_Linearized_Fedkiw
    1.48922883e-08,    2.97001160e-09,    1.86698461e-09,    1.67761495e-08,    4.11493697e-09,    2.60595522e-09,              3,          SodX,                              ALPACA_1D_24_6_NavierStokes_RK2_FiniteVolume_Roe_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_HjDerivativeStencil_Min_Linearized_Fedkiw
    1.82477665e-10,    2.23245108e-11,    9.73563194e-12,    1.55920637e-10,    2.05188344e-11,    1.58389571e-11,              5,          SodX,                              ALPACA_1D_24_6_NavierStokes_RK2_FiniteVolume_Roe_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_HjDerivativeStencil_Min_Linearized_Fedkiw
    4.94093395e-05,    1.98145425e-05,    1.74995495e-05,    5.98894516e-05,    3.19034136e-05,    3.04606609e-05,              0,          SodX,            ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_GlobalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_DerivativeStencil_Min_TwoRarefaction_Fedkiw
    7.27494318e-06,    2.93218242e-06,    2.59247896e-06,    9.02513526e-06,    4.80472710e-06,    4.48304947e-06,              1,          SodX,            ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_GlobalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_DerivativeStencil_Min_TwoRarefaction_Fedkiw
    1.22538500e-07,    3.07046473e-08,    2.16214743e-08,    1.30393911e-07,    4.12090943e-08,    3.64932339e-08,              3,          SodX,            ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_GlobalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_DerivativeStencil_Min_TwoRarefaction_Fedkiw
    2.70812226e-09,    5.55074519e-10,    4.34857965e-10,    3.10899402e-09,    8.13372513e-10,    7.45987682e-10,              5,          SodX,            ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_GlobalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_DerivativeStencil_Min_TwoRarefaction_Fedkiw
    1.02264424e-06,    2.58609513e-07,    1.78590815e-07,    8.47004465e-07,    3.27459497e-07,    2.99812686e-07,              0,          SodX,                        ALPACA_1D_32_4_NavierStokes_RK3_FiniteVolume_Roe_Hll_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_TwoRarefaction_Upwind
    1.39196968e-07,    3.27003319e-08,    1.89313022e-08,    1.00526988e-07,    3.53657829e-08,    3.14672882e-08,              1,          SodX,                        ALPACA_1D_32_4_NavierStokes_RK3_FiniteVolume_Roe_Hll_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_TwoRarefaction_Upwind
    6.32421112e-09,    1.10183536e-09,    6.68160804e-10,    6.78888853e-09,    1.45933690e-09,    9.33084312e-10,              3,          SodX,                        ALPACA_1D_32_4_NavierStokes_RK3_FiniteVolume_Roe_Hll_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_TwoRarefaction_Upwind
    5.61750697e-11,    1.27319647e-11,    9.41853088e-12,    3.44901219e-11,    1.70211832e-11,    1.62870874e-11,              5,          SodX,                        ALPACA_1D_32_4_NavierStokes_RK3_FiniteVolume_Roe_Hll_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_TwoRarefaction_Upwind
    4.18500391e-05,    1.69155498e-05,    1.48248685e-05,    4.66086932e-05,    2.66536675e-05,    2.58109384e-05,              0,          SodX,                                       ALPACA_1D_8_6_NavierStokes_RK2_FiniteVolume_Roe_Hll_Einfeldt_Characteristic_WENO5Z_HOUC5_DerivativeStencil_Min_Hllc_Fedkiw
    6.06849206e-06,    2.70972845e-06,    2.51490730e-06,    7.11369477e-06,    4.49320604e-06,    4.43106597e-06,              1,          SodX,                                       ALPACA_1D_8_6_NavierStokes_RK2_FiniteVolume_Roe_Hll_Einfeldt_Characteristic_WENO5Z_HOUC5_DerivativeStencil_Min_Hllc_Fedkiw
    1.00739199e-07,    2.48428318e-08,    1.52630290e-08,    9.52142033e-08,    2.57933147e-08,    1.95294230e-08,              3,          SodX,                                       ALPACA_1D_8_6_NavierStokes_RK2_FiniteVolume_Roe_Hll_Einfeldt_Characteristic_WENO5Z_HOUC5_DerivativeStencil_Min_Hllc_Fedkiw
    2.31463100e-09,    4.77716851e-10,    2.47511172e-10,    2.47298811e-09,    5.99700525e-10,    4.18845644e-10,              5,          SodX,                                       ALPACA_1D_8_6_NavierStokes_RK2_FiniteVolume_Roe_Hll_Einfeldt_Characteristic_WENO5Z_HOUC5_DerivativeStencil_Min_Hllc_Fedkiw
    2.50746878e-06,    6.35908633e-07,    3.86180985e-07,    2.36985780e-06,    8.19966693e-07,    6.63064934e-07,              0,          SodX,                       ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_Roe_M_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_HjDerivativeStencil_Min_TwoRarefaction_Fedkiw
    3.88232622e-07,    1.12221060e-07,    9.19803758e-08,    3.92251557e-07,    1.73310943e-07,    1.61217394e-07,              1,          SodX,                       ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_Roe_M_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_HjDerivativeStencil_Min_TwoRarefaction_Fedkiw
    8.43854607e-09,    1.76451518e-09,    1.27993837e-09,    7.47918887e-09,    2.38360326e-09,    2.23700621e-09,              3,          SodX,                       ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_Roe_M_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_HjDerivativeStencil_Min_TwoRarefaction_Fedkiw
    2.78269415e-10,    2.76043617e-11,    9.84972729e-12,    2.84501803e-10,    3.00756872e-11,    1.67470789e-11,              5,          SodX,                       ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_Roe_M_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_HjDerivativeStencil_Min_TwoRarefaction_Fedkiw
    1.48258118e-06,    4.43012783e-07,    3.01900864e-07,    1.45519660e-06,    5.83116890e-07,    5.16433858e-07,              0,          SodX,                                   ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_Roe_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_HjDerivativeStencil_Min_Hllc_Fedkiw
    2.58015704e-07,    1.03880800e-07,    9.41351574e-08,    2.92563745e-07,    1.68409159e-07,    1.64106321e-07,              1,          SodX,                                   ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_Roe_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_HjDerivativeStencil_Min_Hllc_Fedkiw
    6.52476113e-09,    1.57467621e-09,    1.31880166e-09,    7.51212976e-09,    2.39593555e-09,    2.29108103e-09,              3,          SodX,                                   ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_Roe_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_HjDerivativeStencil_Min_Hllc_Fedkiw
    1.56674426e-10,    1.90916740e-11,    8.80699917e-12,    1.82488619e-10,    2.33484506e-11,    1.52499626e-11,              5,          SodX,                                   ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_Roe_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_HjDerivativeStencil_Min_Hllc_Fedkiw
    6.90089530e-07,    2.05275093e-07,    1.39620303e-07,    5.95487513e-07,    2.49384854e-07,    2.28787992e-07,              0,          SodX,                                 ALPACA_1D_32_4_NavierStokes_RK3_FiniteVolume_Roe_Hllc_Einfeldt_Characteristic_WENO5_HOUC5_ReconstructionStencil_Weno_Hllc_Upwind
    8.97869750e-08,    2.54713137e-08,    1.44579945e-08,    6.96176492e-08,    2.56511686e-08,    2.14694765e-08,              1,          SodX,                                 ALPACA_1D_32_4_NavierStokes_RK3_FiniteVolume_Roe_Hllc_Einfeldt_Characteristic_WENO5_HOUC5_ReconstructionStencil_Weno_Hllc_Upwind
    2.59094945e-09,    4.51256404e-10,    2.64376381e-10,    2.61567472e-09,    5.13099958e-10,    4.32141203e-10,              3,          SodX,                                 ALPACA_1D_32_4_NavierStokes_RK3_FiniteVolume_Roe_Hllc_Einfeldt_Characteristic_WENO5_HOUC5_ReconstructionStencil_Weno_Hllc_Upwind
    3.30009929e-11,    1.01596969e-11,    8.42228146e-12,    2.80465585e-11,    1.47625382e-11,    1.45170023e-11,              5,          SodX,                                 ALPACA_1D_32_4_NavierStokes_RK3_FiniteVolume_Roe_Hllc_Einfeldt_Characteristic_WENO5_HOUC5_ReconstructionStencil_Weno_Hllc_Upwind
    4.73109368e-05,    1.91201415e-05,    1.68388893e-05,    5.45096592e-05,    3.08180236e-05,    2.97142519e-05,              0,          SodX,               ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_M_Hllc_Einfeldt_Characteristic_WENO5_HOUC5_DerivativeStencil_Min_Linearized_Fedkiw
    6.81546798e-06,    2.81987063e-06,    2.54197958e-06,    7.83414128e-06,    4.61366318e-06,    4.45007300e-06,              1,          SodX,               ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_M_Hllc_Einfeldt_Characteristic_WENO5_HOUC5_DerivativeStencil_Min_Linearized_Fedkiw
    1.09488111e-07,    2.86211405e-08,    1.68883341e-08,    9.89371945e-08,    3.32152522e-08,    2.89135944e-08,              3,          SodX,               ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_M_Hllc_Einfeldt_Characteristic_WENO5_HOUC5_DerivativeStencil_Min_Linearized_Fedkiw
    2.80463622e-09,    5.33267731e-10,    3.35842104e-10,    2.95108450e-09,    6.97237212e-10,    5.80157402e-10,              5,          SodX,               ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_M_Hllc_Einfeldt_Characteristic_WENO5_HOUC5_DerivativeStencil_Min_Linearized_Fedkiw
    3.92850614e-05,    1.73754939e-05,    1.56265573e-05,    4.81781527e-05,    2.83497774e-05,    2.75883150e-05,              0,          SodX,                                ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_Roe_Hllc_Einfeldt_Characteristic_WENO9_HOUC5_DerivativeStencil_Min_Linearized_Fedkiw
    5.72668164e-06,    2.68762619e-06,    2.51939046e-06,    7.16638947e-06,    4.53979363e-06,    4.47232180e-06,              1,          SodX,                                ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_Roe_Hllc_Einfeldt_Characteristic_WENO9_HOUC5_DerivativeStencil_Min_Linearized_Fedkiw
    1.01943302e-07,    2.56589257e-08,    1.49534659e-08,    1.03235689e-07,    3.07457908e-08,    2.53903394e-08,              3,          SodX,                                ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_Roe_Hllc_Einfeldt_Characteristic_WENO9_HOUC5_DerivativeStencil_Min_Linearized_Fedkiw
    1.79285663e-09,    3.83818902e-10,    2.74699745e-10,    1.64790353e-09,    5.05146379e-10,    4.75436248e-10,              5,          SodX,                                ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_Roe_Hllc_Einfeldt_Characteristic_WENO9_HOUC5_DerivativeStencil_Min_Linearized_Fedkiw
    6.11467178e-07,    1.86248795e-07,    1.19883696e-07,    5.70962203e-07,    2.28544959e-07,    2.03433021e-07,              0,          SodX,         ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_GlobalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO5Z_HOUC5_ReconstructionStencil_Weno_Linearized_Upwind
    7.98937879e-08,    2.31551731e-08,    1.39116136e-08,    6.80354840e-08,    2.38053186e-08,    1.87568532e-08,              1,          SodX,         ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_GlobalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO5Z_HOUC5_ReconstructionStencil_Weno_Linearized_Upwind
    2.48846882e-09,    4.14869940e-10,    2.25981651e-10,    2.70693626e-09,    4.87915559e-10,    3.85370178e-10,              3,          SodX,         ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_GlobalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO5Z_HOUC5_ReconstructionStencil_Weno_Linearized_Upwind
    3.19100704e-11,    9.31602878e-12,    7.85672277e-12,    3.13692617e-11,    1.39624698e-11,    1.37722538e-11,              5,          SodX,         ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_GlobalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO5Z_HOUC5_ReconstructionStencil_Weno_Linearized_Upwind
    9.60803571e-07,    2.56417781e-07,    1.82571444e-07,    8.29079300e-07,    3.39286859e-07,    3.11954844e-07,              0,          SodX,     ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_LocalLaxFriedrichs_M_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_TwoRarefaction_Upwind
    1.31928328e-07,    3.25585715e-08,    1.92074165e-08,    9.74632552e-08,    3.63206712e-08,    3.24460111e-08,              1,          SodX,     ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_LocalLaxFriedrichs_M_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_TwoRarefaction_Upwind
    3.50269345e-09,    5.92668043e-10,    3.53038263e-10,    2.95854756e-09,    6.86684710e-10,    6.02801700e-10,              3,          SodX,     ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_LocalLaxFriedrichs_M_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_TwoRarefaction_Upwind
    5.82377211e-11,    1.25318095e-11,    9.21153674e-12,    3.95161076e-11,    1.69816997e-11,    1.61187685e-11,              5,          SodX,     ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_LocalLaxFriedrichs_M_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_TwoRarefaction_Upwind
    1.35597443e-06,    4.01351997e-07,    2.41631246e-07,    1.28092597e-06,    4.84557473e-07,    4.01191636e-07,              0,          SodX,                               ALPACA_1D_24_6_NavierStokes_RK2_FiniteVolume_Roe_Hll_Einfeldt_Characteristic_WENO9_HOUC5_HjDerivativeStencil_Min_Linearized_Fedkiw
    2.20058217e-07,    9.23517552e-08,    8.46565354e-08,    2.45279021e-07,    1.47792627e-07,    1.46270909e-07,              1,          SodX,                               ALPACA_1D_24_6_NavierStokes_RK2_FiniteVolume_Roe_Hll_Einfeldt_Characteristic_WENO9_HOUC5_HjDerivativeStencil_Min_Linearized_Fedkiw
    5.59807262e-09,    1.30187496e-09,    1.03985581e-09,    6.00684138e-09,    1.85659446e-09,    1.78760328e-09,              3,          SodX,                               ALPACA_1D_24_6_NavierStokes_RK2_FiniteVolume_Roe_Hll_Einfeldt_Characteristic_WENO9_HOUC5_HjDerivativeStencil_Min_Linearized_Fedkiw
    1.09933897e-10,    1.66052109e-11,    9.87384387e-12,    7.94111429e-11,    1.36628884e-11,    9.95361845e-12,              5,          SodX,                               ALPACA_1D_24_6_NavierStokes_RK2_FiniteVolume_Roe_Hll_Einfeldt_Characteristic_WENO9_HOUC5_HjDerivativeStencil_Min_Linearized_Fedkiw
    1.28201009e-06,    3.86170496e-07,    1.92486130e-07,    1.12651026e-06,    4.31014301e-07,    3.36644260e-07,              0,          SodX,                 ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_M_Hllc_Einfeldt_Characteristic_WENO5Z_HOUC5_HjDerivativeStencil_Min_Hllc_Fedkiw
    2.06389727e-07,    8.54137252e-08,    7.68231183e-08,    2.23008073e-07,    1.37860072e-07,    1.36496866e-07,              1,          SodX,                 ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_M_Hllc_Einfeldt_Characteristic_WENO5Z_HOUC5_HjDerivativeStencil_Min_Hllc_Fedkiw
    4.29568839e-09,    1.25852997e-09,    9.80556279e-10,    4.30387410e-09,    1.76836559e-09,    1.73590594e-09,              3,          SodX,                 ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_M_Hllc_Einfeldt_Characteristic_WENO5Z_HOUC5_HjDerivativeStencil_Min_Hllc_Fedkiw
