        Runtime,                     Inputfile,                                                                                                                                                           Executable
1.5922663636363635e-02,        ShockDensity,             ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_GlobalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_DerivativeStencil_Min_TwoRarefaction_Fedkiw
6.403231818181819e-02,        ShockDensity,                  ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_LocalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_Hllc_Upwind
1.5362427272727271e-02,        ShockDensity,                ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_M_Hllc_Einfeldt_Characteristic_WENO5_HOUC5_DerivativeStencil_Min_Linearized_Fedkiw
6.357075454545455e-02,        ShockDensity,      ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_LocalLaxFriedrichs_M_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_TwoRarefaction_Upwind
3.999859090909091e-02,        ShockDensity,                               ALPACA_1D_24_6_NavierStokes_RK2_FiniteVolume_Roe_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_HjDerivativeStencil_Min_Linearized_Fedkiw
4.4749945454545456e-02,        ShockDensity,                                ALPACA_1D_24_6_NavierStokes_RK2_FiniteVolume_Roe_Hll_Einfeldt_Characteristic_WENO9_HOUC5_HjDerivativeStencil_Min_Linearized_Fedkiw
4.155077272727273e-02,        ShockDensity,                  ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_M_Hllc_Einfeldt_Characteristic_WENO5Z_HOUC5_HjDerivativeStencil_Min_Hllc_Fedkiw
7.207311818181818e-02,        ShockDensity,          ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_GlobalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO5Z_HOUC5_ReconstructionStencil_Weno_Linearized_Upwind
4.3706745454545455e-02,        ShockDensity,                   ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_GlobalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO5_HOUC5_HjDerivativeStencil_Min_Exact_Fedkiw
7.666291818181817e-02,        ShockDensity,                              ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_Roe_M_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_ReconstructionStencil_Weno_Exact_Upwind
1.4264209090909087e-02,        ShockDensity,                                        ALPACA_1D_8_6_NavierStokes_RK2_FiniteVolume_Roe_Hll_Einfeldt_Characteristic_WENO5Z_HOUC5_DerivativeStencil_Min_Hllc_Fedkiw
6.2410990909090906e-02,        ShockDensity,                         ALPACA_1D_32_4_NavierStokes_RK3_FiniteVolume_Roe_Hll_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_TwoRarefaction_Upwind
1.4864654545454548e-02,        ShockDensity,                                 ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_Roe_Hllc_Einfeldt_Characteristic_WENO9_HOUC5_DerivativeStencil_Min_Linearized_Fedkiw
3.995286363636364e-02,        ShockDensity,                        ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_Roe_M_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_HjDerivativeStencil_Min_TwoRarefaction_Fedkiw
1.5062490909090908e-02,        ShockDensity,                                     ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_Roe_M_Hllc_Einfeldt_Characteristic_WENO9_HOUC5_DerivativeStencil_Min_Hllc_Fedkiw
4.8354218181818176e-02,        ShockDensity,               ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO9_HOUC5_HjDerivativeStencil_Min_Linearized_Fedkiw
1.4925863636363638e-02,        ShockDensity,                      ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO5Z_HOUC5_DerivativeStencil_Min_Exact_Fedkiw
6.098555454545454e-02,        ShockDensity,                       ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_Roe_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_TwoRarefaction_Upwind
1.5274145454545456e-02,        ShockDensity,                                       ALPACA_1D_8_6_NavierStokes_RK2_FiniteVolume_Roe_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_DerivativeStencil_Min_Exact_Fedkiw
4.366129999999999e-02,        ShockDensity,                                    ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_Roe_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_HjDerivativeStencil_Min_Hllc_Fedkiw
7.043002727272728e-02,        ShockDensity,                                  ALPACA_1D_32_4_NavierStokes_RK3_FiniteVolume_Roe_Hllc_Einfeldt_Characteristic_WENO5_HOUC5_ReconstructionStencil_Weno_Hllc_Upwind
5.380394545454545e+00,     ScalarAdvection,             ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_GlobalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_DerivativeStencil_Min_TwoRarefaction_Fedkiw
2.8896863636363637e+01,     ScalarAdvection,                  ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_LocalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_Hllc_Upwind
5.327703636363636e+00,     ScalarAdvection,                ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_M_Hllc_Einfeldt_Characteristic_WENO5_HOUC5_DerivativeStencil_Min_Linearized_Fedkiw
2.8905872727272722e+01,     ScalarAdvection,      ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_LocalLaxFriedrichs_M_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_TwoRarefaction_Upwind
1.7678745454545457e+01,     ScalarAdvection,                               ALPACA_1D_24_6_NavierStokes_RK2_FiniteVolume_Roe_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_HjDerivativeStencil_Min_Linearized_Fedkiw
2.0184063636363636e+01,     ScalarAdvection,                                ALPACA_1D_24_6_NavierStokes_RK2_FiniteVolume_Roe_Hll_Einfeldt_Characteristic_WENO9_HOUC5_HjDerivativeStencil_Min_Linearized_Fedkiw
1.755706363636364e+01,     ScalarAdvection,                  ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_M_Hllc_Einfeldt_Characteristic_WENO5Z_HOUC5_HjDerivativeStencil_Min_Hllc_Fedkiw
3.304387272727272e+01,     ScalarAdvection,          ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_GlobalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO5Z_HOUC5_ReconstructionStencil_Weno_Linearized_Upwind
1.816442727272727e+01,     ScalarAdvection,                   ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_GlobalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO5_HOUC5_HjDerivativeStencil_Min_Exact_Fedkiw
3.513829090909091e+01,     ScalarAdvection,                              ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_Roe_M_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_ReconstructionStencil_Weno_Exact_Upwind
5.211062727272727e+00,     ScalarAdvection,                                        ALPACA_1D_8_6_NavierStokes_RK2_FiniteVolume_Roe_Hll_Einfeldt_Characteristic_WENO5Z_HOUC5_DerivativeStencil_Min_Hllc_Fedkiw
3.0141481818181827e+01,     ScalarAdvection,                         ALPACA_1D_32_4_NavierStokes_RK3_FiniteVolume_Roe_Hll_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_TwoRarefaction_Upwind
5.434030000000001e+00,     ScalarAdvection,                                 ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_Roe_Hllc_Einfeldt_Characteristic_WENO9_HOUC5_DerivativeStencil_Min_Linearized_Fedkiw
1.6514990909090912e+01,     ScalarAdvection,                        ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_Roe_M_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_HjDerivativeStencil_Min_TwoRarefaction_Fedkiw
5.424115454545455e+00,     ScalarAdvection,                                     ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_Roe_M_Hllc_Einfeldt_Characteristic_WENO9_HOUC5_DerivativeStencil_Min_Hllc_Fedkiw
2.1354645454545455e+01,     ScalarAdvection,               ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO9_HOUC5_HjDerivativeStencil_Min_Linearized_Fedkiw
5.070876363636364e+00,     ScalarAdvection,                      ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO5Z_HOUC5_DerivativeStencil_Min_Exact_Fedkiw
2.820862727272727e+01,     ScalarAdvection,                       ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_Roe_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_TwoRarefaction_Upwind
5.250762727272726e+00,     ScalarAdvection,                                       ALPACA_1D_8_6_NavierStokes_RK2_FiniteVolume_Roe_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_DerivativeStencil_Min_Exact_Fedkiw
1.9087790909090913e+01,     ScalarAdvection,                                    ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_Roe_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_HjDerivativeStencil_Min_Hllc_Fedkiw
3.292300909090909e+01,     ScalarAdvection,                                  ALPACA_1D_32_4_NavierStokes_RK3_FiniteVolume_Roe_Hllc_Einfeldt_Characteristic_WENO5_HOUC5_ReconstructionStencil_Weno_Hllc_Upwind
2.5048090909090905e-02,            Woodward,             ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_GlobalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_DerivativeStencil_Min_TwoRarefaction_Fedkiw
1.1335818181818182e-01,            Woodward,                  ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_LocalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_Hllc_Upwind
2.4308518181818183e-02,            Woodward,                ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_M_Hllc_Einfeldt_Characteristic_WENO5_HOUC5_DerivativeStencil_Min_Linearized_Fedkiw
1.0899509090909089e-01,            Woodward,      ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_LocalLaxFriedrichs_M_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_TwoRarefaction_Upwind
6.887745454545455e-02,            Woodward,                               ALPACA_1D_24_6_NavierStokes_RK2_FiniteVolume_Roe_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_HjDerivativeStencil_Min_Linearized_Fedkiw
7.802004545454545e-02,            Woodward,                                ALPACA_1D_24_6_NavierStokes_RK2_FiniteVolume_Roe_Hll_Einfeldt_Characteristic_WENO9_HOUC5_HjDerivativeStencil_Min_Linearized_Fedkiw
7.350571818181818e-02,            Woodward,                  ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_M_Hllc_Einfeldt_Characteristic_WENO5Z_HOUC5_HjDerivativeStencil_Min_Hllc_Fedkiw
1.2607309090909088e-01,            Woodward,          ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_GlobalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO5Z_HOUC5_ReconstructionStencil_Weno_Linearized_Upwind
7.648950909090908e-02,            Woodward,                   ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_GlobalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO5_HOUC5_HjDerivativeStencil_Min_Exact_Fedkiw
1.3231754545454544e-01,            Woodward,                              ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_Roe_M_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_ReconstructionStencil_Weno_Exact_Upwind
2.2809218181818188e-02,            Woodward,                                        ALPACA_1D_8_6_NavierStokes_RK2_FiniteVolume_Roe_Hll_Einfeldt_Characteristic_WENO5Z_HOUC5_DerivativeStencil_Min_Hllc_Fedkiw
1.1242736363636362e-01,            Woodward,                         ALPACA_1D_32_4_NavierStokes_RK3_FiniteVolume_Roe_Hll_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_TwoRarefaction_Upwind
2.4261854545454545e-02,            Woodward,                                 ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_Roe_Hllc_Einfeldt_Characteristic_WENO9_HOUC5_DerivativeStencil_Min_Linearized_Fedkiw
6.629791818181817e-02,            Woodward,                        ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_Roe_M_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_HjDerivativeStencil_Min_TwoRarefaction_Fedkiw
2.4296554545454544e-02,            Woodward,                                     ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_Roe_M_Hllc_Einfeldt_Characteristic_WENO9_HOUC5_DerivativeStencil_Min_Hllc_Fedkiw
8.348275454545454e-02,            Woodward,               ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO9_HOUC5_HjDerivativeStencil_Min_Linearized_Fedkiw
2.3174363636363635e-02,            Woodward,                      ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO5Z_HOUC5_DerivativeStencil_Min_Exact_Fedkiw
1.0999827272727271e-01,            Woodward,                       ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_Roe_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_TwoRarefaction_Upwind
2.3625000000000004e-02,            Woodward,                                       ALPACA_1D_8_6_NavierStokes_RK2_FiniteVolume_Roe_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_DerivativeStencil_Min_Exact_Fedkiw
7.699529090909091e-02,            Woodward,                                    ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_Roe_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_HjDerivativeStencil_Min_Hllc_Fedkiw
1.2009563636363638e-01,            Woodward,                                  ALPACA_1D_32_4_NavierStokes_RK3_FiniteVolume_Roe_Hllc_Einfeldt_Characteristic_WENO5_HOUC5_ReconstructionStencil_Weno_Hllc_Upwind
