        Runtime,  NumberOfRanks,             Inputfile,                                                                                                                                                          Executable
1.3008172727272725e+02,1,     GasGasInteraction,                                ALPACA_1D_24_6_NavierStokes_RK2_FiniteVolume_Roe_Hll_Einfeldt_Characteristic_WENO9_HOUC5_HjDerivativeStencil_Min_Linearized_Fedkiw
1.2207563636363635e+02,8,     GasGasInteraction,                                ALPACA_1D_24_6_NavierStokes_RK2_FiniteVolume_Roe_Hll_Einfeldt_Characteristic_WENO9_HOUC5_HjDerivativeStencil_Min_Linearized_Fedkiw
1.195511818181818e+02,16,     GasGasInteraction,                                ALPACA_1D_24_6_NavierStokes_RK2_FiniteVolume_Roe_Hll_Einfeldt_Characteristic_WENO9_HOUC5_HjDerivativeStencil_Min_Linearized_Fedkiw
1.5689872727272727e+03,1,     GasGasInteraction,                  ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_M_Hllc_Einfeldt_Characteristic_WENO5Z_HOUC5_HjDerivativeStencil_Min_Hllc_Fedkiw
5.681992727272726e+02,8,     GasGasInteraction,                  ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_M_Hllc_Einfeldt_Characteristic_WENO5Z_HOUC5_HjDerivativeStencil_Min_Hllc_Fedkiw
4.577321818181818e+02,16,     GasGasInteraction,                  ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_M_Hllc_Einfeldt_Characteristic_WENO5Z_HOUC5_HjDerivativeStencil_Min_Hllc_Fedkiw
1.933812727272727e+02,1,     GasGasInteraction,          ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_GlobalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO5Z_HOUC5_ReconstructionStencil_Weno_Linearized_Upwind
1.9021345454545454e+02,8,     GasGasInteraction,          ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_GlobalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO5Z_HOUC5_ReconstructionStencil_Weno_Linearized_Upwind
1.8547327272727273e+02,16,     GasGasInteraction,          ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_GlobalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO5Z_HOUC5_ReconstructionStencil_Weno_Linearized_Upwind
9.954844545454547e+01,1,     GasGasInteraction,                   ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_GlobalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO5_HOUC5_HjDerivativeStencil_Min_Exact_Fedkiw
1.1040700000000001e+02,8,     GasGasInteraction,                   ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_GlobalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO5_HOUC5_HjDerivativeStencil_Min_Exact_Fedkiw
1.1130654545454544e+02,16,     GasGasInteraction,                   ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_GlobalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO5_HOUC5_HjDerivativeStencil_Min_Exact_Fedkiw
3.6233072727272724e+02,1,     GasGasInteraction,                              ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_Roe_M_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_ReconstructionStencil_Weno_Exact_Upwind
2.4240218181818182e+02,8,     GasGasInteraction,                              ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_Roe_M_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_ReconstructionStencil_Weno_Exact_Upwind
2.2117054545454548e+02,16,     GasGasInteraction,                              ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_Roe_M_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_ReconstructionStencil_Weno_Exact_Upwind
4.951998181818181e+01,1,     GasGasInteraction,                                        ALPACA_1D_8_6_NavierStokes_RK2_FiniteVolume_Roe_Hll_Einfeldt_Characteristic_WENO5Z_HOUC5_DerivativeStencil_Min_Hllc_Fedkiw
5.25609e+01,8,     GasGasInteraction,                                        ALPACA_1D_8_6_NavierStokes_RK2_FiniteVolume_Roe_Hll_Einfeldt_Characteristic_WENO5Z_HOUC5_DerivativeStencil_Min_Hllc_Fedkiw
4.959623636363636e+01,16,     GasGasInteraction,                                        ALPACA_1D_8_6_NavierStokes_RK2_FiniteVolume_Roe_Hll_Einfeldt_Characteristic_WENO5Z_HOUC5_DerivativeStencil_Min_Hllc_Fedkiw
2.0372309090909093e+02,1,     GasGasInteraction,                         ALPACA_1D_32_4_NavierStokes_RK3_FiniteVolume_Roe_Hll_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_TwoRarefaction_Upwind
1.962831818181818e+02,8,     GasGasInteraction,                         ALPACA_1D_32_4_NavierStokes_RK3_FiniteVolume_Roe_Hll_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_TwoRarefaction_Upwind
1.8608827272727274e+02,16,     GasGasInteraction,                         ALPACA_1D_32_4_NavierStokes_RK3_FiniteVolume_Roe_Hll_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_TwoRarefaction_Upwind
5.633861818181819e+01,1,     GasGasInteraction,                                 ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_Roe_Hllc_Einfeldt_Characteristic_WENO9_HOUC5_DerivativeStencil_Min_Linearized_Fedkiw
5.567806363636364e+01,8,     GasGasInteraction,                                 ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_Roe_Hllc_Einfeldt_Characteristic_WENO9_HOUC5_DerivativeStencil_Min_Linearized_Fedkiw
5.208072727272727e+01,16,     GasGasInteraction,                                 ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_Roe_Hllc_Einfeldt_Characteristic_WENO9_HOUC5_DerivativeStencil_Min_Linearized_Fedkiw
1.2021218181818182e+02,1,     GasGasInteraction,                        ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_Roe_M_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_HjDerivativeStencil_Min_TwoRarefaction_Fedkiw
1.1655963636363636e+02,8,     GasGasInteraction,                        ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_Roe_M_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_HjDerivativeStencil_Min_TwoRarefaction_Fedkiw
1.1410727272727271e+02,16,     GasGasInteraction,                        ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_Roe_M_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_HjDerivativeStencil_Min_TwoRarefaction_Fedkiw
1.3092054545454544e+03,1,     GasGasInteraction,                                     ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_Roe_M_Hllc_Einfeldt_Characteristic_WENO9_HOUC5_DerivativeStencil_Min_Hllc_Fedkiw
3.934197272727273e+02,8,     GasGasInteraction,                                     ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_Roe_M_Hllc_Einfeldt_Characteristic_WENO9_HOUC5_DerivativeStencil_Min_Hllc_Fedkiw
3.1518399999999997e+02,16,     GasGasInteraction,                                     ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_Roe_M_Hllc_Einfeldt_Characteristic_WENO9_HOUC5_DerivativeStencil_Min_Hllc_Fedkiw
1.4320681818181816e+02,1,     GasGasInteraction,               ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO9_HOUC5_HjDerivativeStencil_Min_Linearized_Fedkiw
1.2714490909090908e+02,8,     GasGasInteraction,               ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO9_HOUC5_HjDerivativeStencil_Min_Linearized_Fedkiw
1.2305981818181819e+02,16,     GasGasInteraction,               ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO9_HOUC5_HjDerivativeStencil_Min_Linearized_Fedkiw
5.668807272727272e+01,1,     GasGasInteraction,                      ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO5Z_HOUC5_DerivativeStencil_Min_Exact_Fedkiw
5.3738818181818175e+01,8,     GasGasInteraction,                      ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO5Z_HOUC5_DerivativeStencil_Min_Exact_Fedkiw
5.0575954545454536e+01,16,     GasGasInteraction,                      ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO5Z_HOUC5_DerivativeStencil_Min_Exact_Fedkiw
2.042563636363636e+02,1,     GasGasInteraction,                       ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_Roe_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_TwoRarefaction_Upwind
1.9295709090909088e+02,8,     GasGasInteraction,                       ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_Roe_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_TwoRarefaction_Upwind
1.8166599999999997e+02,16,     GasGasInteraction,                       ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_Roe_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_TwoRarefaction_Upwind
5.861865454545455e+01,1,     GasGasInteraction,                                       ALPACA_1D_8_6_NavierStokes_RK2_FiniteVolume_Roe_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_DerivativeStencil_Min_Exact_Fedkiw
5.5419881818181814e+01,8,     GasGasInteraction,                                       ALPACA_1D_8_6_NavierStokes_RK2_FiniteVolume_Roe_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_DerivativeStencil_Min_Exact_Fedkiw
5.182048181818182e+01,16,     GasGasInteraction,                                       ALPACA_1D_8_6_NavierStokes_RK2_FiniteVolume_Roe_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_DerivativeStencil_Min_Exact_Fedkiw
1.1089581818181819e+02,1,     GasGasInteraction,                                    ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_Roe_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_HjDerivativeStencil_Min_Hllc_Fedkiw
1.1432009090909092e+02,8,     GasGasInteraction,                                    ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_Roe_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_HjDerivativeStencil_Min_Hllc_Fedkiw
1.1326836363636363e+02,16,     GasGasInteraction,                                    ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_Roe_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_HjDerivativeStencil_Min_Hllc_Fedkiw
1.9644099999999997e+02,1,     GasGasInteraction,                                  ALPACA_1D_32_4_NavierStokes_RK3_FiniteVolume_Roe_Hllc_Einfeldt_Characteristic_WENO5_HOUC5_ReconstructionStencil_Weno_Hllc_Upwind
1.8844409090909093e+02,8,     GasGasInteraction,                                  ALPACA_1D_32_4_NavierStokes_RK3_FiniteVolume_Roe_Hllc_Einfeldt_Characteristic_WENO5_HOUC5_ReconstructionStencil_Weno_Hllc_Upwind
1.8609345454545453e+02,16,     GasGasInteraction,                                  ALPACA_1D_32_4_NavierStokes_RK3_FiniteVolume_Roe_Hllc_Einfeldt_Characteristic_WENO5_HOUC5_ReconstructionStencil_Weno_Hllc_Upwind
3.6293054545454545e-01,1,             ToroCase4,             ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_GlobalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_DerivativeStencil_Min_TwoRarefaction_Fedkiw
3.761847272727273e-01,8,             ToroCase4,             ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_GlobalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_DerivativeStencil_Min_TwoRarefaction_Fedkiw
3.7920045454545454e-01,16,             ToroCase4,             ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_GlobalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_DerivativeStencil_Min_TwoRarefaction_Fedkiw
1.3456290909090909e+00,1,             ToroCase4,                  ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_LocalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_Hllc_Upwind
1.4001554545454549e+00,8,             ToroCase4,                  ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_LocalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_Hllc_Upwind
1.4435254545454546e+00,16,             ToroCase4,                  ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_LocalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_Hllc_Upwind
3.6228772727272734e-01,1,             ToroCase4,                ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_M_Hllc_Einfeldt_Characteristic_WENO5_HOUC5_DerivativeStencil_Min_Linearized_Fedkiw
3.770589090909091e-01,8,             ToroCase4,                ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_M_Hllc_Einfeldt_Characteristic_WENO5_HOUC5_DerivativeStencil_Min_Linearized_Fedkiw
3.8216454545454553e-01,16,             ToroCase4,                ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_M_Hllc_Einfeldt_Characteristic_WENO5_HOUC5_DerivativeStencil_Min_Linearized_Fedkiw
1.4692372727272727e+00,1,             ToroCase4,      ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_LocalLaxFriedrichs_M_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_TwoRarefaction_Upwind
1.4851518181818184e+00,8,             ToroCase4,      ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_LocalLaxFriedrichs_M_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_TwoRarefaction_Upwind
1.5177745454545453e+00,16,             ToroCase4,      ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_LocalLaxFriedrichs_M_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_TwoRarefaction_Upwind
7.481241818181819e-01,1,             ToroCase4,                               ALPACA_1D_24_6_NavierStokes_RK2_FiniteVolume_Roe_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_HjDerivativeStencil_Min_Linearized_Fedkiw
8.65921909090909e-01,8,             ToroCase4,                               ALPACA_1D_24_6_NavierStokes_RK2_FiniteVolume_Roe_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_HjDerivativeStencil_Min_Linearized_Fedkiw
9.020205454545455e-01,16,             ToroCase4,                               ALPACA_1D_24_6_NavierStokes_RK2_FiniteVolume_Roe_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_HjDerivativeStencil_Min_Linearized_Fedkiw
1.1923045454545453e+00,1,             ToroCase4,                                ALPACA_1D_24_6_NavierStokes_RK2_FiniteVolume_Roe_Hll_Einfeldt_Characteristic_WENO9_HOUC5_HjDerivativeStencil_Min_Linearized_Fedkiw
1.0317290909090906e+00,8,             ToroCase4,                                ALPACA_1D_24_6_NavierStokes_RK2_FiniteVolume_Roe_Hll_Einfeldt_Characteristic_WENO9_HOUC5_HjDerivativeStencil_Min_Linearized_Fedkiw
1.062829090909091e+00,16,             ToroCase4,                                ALPACA_1D_24_6_NavierStokes_RK2_FiniteVolume_Roe_Hll_Einfeldt_Characteristic_WENO9_HOUC5_HjDerivativeStencil_Min_Linearized_Fedkiw
9.918939090909089e-01,1,             ToroCase4,                  ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_M_Hllc_Einfeldt_Characteristic_WENO5Z_HOUC5_HjDerivativeStencil_Min_Hllc_Fedkiw
9.859033636363637e-01,8,             ToroCase4,                  ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_M_Hllc_Einfeldt_Characteristic_WENO5Z_HOUC5_HjDerivativeStencil_Min_Hllc_Fedkiw
1.0161154545454547e+00,16,             ToroCase4,                  ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_M_Hllc_Einfeldt_Characteristic_WENO5Z_HOUC5_HjDerivativeStencil_Min_Hllc_Fedkiw
1.8129290909090907e+00,1,             ToroCase4,          ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_GlobalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO5Z_HOUC5_ReconstructionStencil_Weno_Linearized_Upwind
1.7126145454545456e+00,8,             ToroCase4,          ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_GlobalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO5Z_HOUC5_ReconstructionStencil_Weno_Linearized_Upwind
1.7222627272727273e+00,16,             ToroCase4,          ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_GlobalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO5Z_HOUC5_ReconstructionStencil_Weno_Linearized_Upwind
8.436913636363638e-01,1,             ToroCase4,                   ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_GlobalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO5_HOUC5_HjDerivativeStencil_Min_Exact_Fedkiw
9.029138181818183e-01,8,             ToroCase4,                   ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_GlobalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO5_HOUC5_HjDerivativeStencil_Min_Exact_Fedkiw
9.382646363636364e-01,16,             ToroCase4,                   ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_GlobalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO5_HOUC5_HjDerivativeStencil_Min_Exact_Fedkiw
2.4437545454545453e+00,1,             ToroCase4,                              ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_Roe_M_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_ReconstructionStencil_Weno_Exact_Upwind
1.852229090909091e+00,8,             ToroCase4,                              ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_Roe_M_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_ReconstructionStencil_Weno_Exact_Upwind
1.8822854545454546e+00,16,             ToroCase4,                              ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_Roe_M_Hllc_Einfeldt_Characteristic_WENO7_HOUC5_ReconstructionStencil_Weno_Exact_Upwind
3.486065454545455e-01,1,             ToroCase4,                                        ALPACA_1D_8_6_NavierStokes_RK2_FiniteVolume_Roe_Hll_Einfeldt_Characteristic_WENO5Z_HOUC5_DerivativeStencil_Min_Hllc_Fedkiw
3.627394545454546e-01,8,             ToroCase4,                                        ALPACA_1D_8_6_NavierStokes_RK2_FiniteVolume_Roe_Hll_Einfeldt_Characteristic_WENO5Z_HOUC5_DerivativeStencil_Min_Hllc_Fedkiw
3.708644545454545e-01,16,             ToroCase4,                                        ALPACA_1D_8_6_NavierStokes_RK2_FiniteVolume_Roe_Hll_Einfeldt_Characteristic_WENO5Z_HOUC5_DerivativeStencil_Min_Hllc_Fedkiw
1.4906300000000001e+00,1,             ToroCase4,                         ALPACA_1D_32_4_NavierStokes_RK3_FiniteVolume_Roe_Hll_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_TwoRarefaction_Upwind
1.4724172727272729e+00,8,             ToroCase4,                         ALPACA_1D_32_4_NavierStokes_RK3_FiniteVolume_Roe_Hll_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_TwoRarefaction_Upwind
1.5177754545454543e+00,16,             ToroCase4,                         ALPACA_1D_32_4_NavierStokes_RK3_FiniteVolume_Roe_Hll_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_TwoRarefaction_Upwind
4.1436627272727267e-01,1,             ToroCase4,                                 ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_Roe_Hllc_Einfeldt_Characteristic_WENO9_HOUC5_DerivativeStencil_Min_Linearized_Fedkiw
3.8726863636363634e-01,8,             ToroCase4,                                 ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_Roe_Hllc_Einfeldt_Characteristic_WENO9_HOUC5_DerivativeStencil_Min_Linearized_Fedkiw
3.8829454545454545e-01,16,             ToroCase4,                                 ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_Roe_Hllc_Einfeldt_Characteristic_WENO9_HOUC5_DerivativeStencil_Min_Linearized_Fedkiw
7.110035454545455e-01,1,             ToroCase4,                        ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_Roe_M_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_HjDerivativeStencil_Min_TwoRarefaction_Fedkiw
8.905957272727272e-01,8,             ToroCase4,                        ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_Roe_M_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_HjDerivativeStencil_Min_TwoRarefaction_Fedkiw
9.277879090909092e-01,16,             ToroCase4,                        ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_Roe_M_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_HjDerivativeStencil_Min_TwoRarefaction_Fedkiw
4.3560136363636365e-01,1,             ToroCase4,                                     ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_Roe_M_Hllc_Einfeldt_Characteristic_WENO9_HOUC5_DerivativeStencil_Min_Hllc_Fedkiw
3.893226363636364e-01,8,             ToroCase4,                                     ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_Roe_M_Hllc_Einfeldt_Characteristic_WENO9_HOUC5_DerivativeStencil_Min_Hllc_Fedkiw
3.8889836363636365e-01,16,             ToroCase4,                                     ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_Roe_M_Hllc_Einfeldt_Characteristic_WENO9_HOUC5_DerivativeStencil_Min_Hllc_Fedkiw
1.351721818181818e+00,1,             ToroCase4,               ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO9_HOUC5_HjDerivativeStencil_Min_Linearized_Fedkiw
1.0660418181818183e+00,8,             ToroCase4,               ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO9_HOUC5_HjDerivativeStencil_Min_Linearized_Fedkiw
1.0937027272727273e+00,16,             ToroCase4,               ALPACA_1D_24_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO9_HOUC5_HjDerivativeStencil_Min_Linearized_Fedkiw
3.3605290909090907e-01,1,             ToroCase4,                      ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO5Z_HOUC5_DerivativeStencil_Min_Exact_Fedkiw
3.542363636363636e-01,8,             ToroCase4,                      ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO5Z_HOUC5_DerivativeStencil_Min_Exact_Fedkiw
3.607036363636364e-01,16,             ToroCase4,                      ALPACA_1D_8_6_NavierStokes_RK2_FluxSplitting_LocalLaxFriedrichs_Hllc_Einfeldt_Characteristic_WENO5Z_HOUC5_DerivativeStencil_Min_Exact_Fedkiw
1.3361472727272725e+00,1,             ToroCase4,                       ALPACA_1D_32_4_NavierStokes_RK3_FluxSplitting_Roe_Hllc_Einfeldt_Characteristic_WENO3_HOUC5_ReconstructionStencil_Weno_TwoRarefaction_Upwind
